time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,KOSHER ,4582428660,6669.1,1161
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,KOSHER ,4370041345,6633.9,1172
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,4303129432,6194.4,932
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,1G TO LESS THAN 10G PROTEIN PER SERVING ,4068841766,6140,1005
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,1G TO LESS THAN 10G PROTEIN PER SERVING ,3882250905,6136.9,1049
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,4038764127,6076.7,899
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ANTIBIOTICS ,4094835048,6004.4,782
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM HORMONES ,4094833021,6004.3,781
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM MSG ,4087001456,5979.5,778
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM CAFFEINE ,4077442424,5973,775
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ANTIBIOTICS ,3843461100,5958.5,779
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM HORMONES ,3843461034,5958.5,778
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS DAIRY ,4081823402,5954.9,775
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS LACTOSE ,4081823402,5954.9,775
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS ADDED SUGAR ,4101960355,5953.7,844
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM MSG ,3838886271,5935.5,776
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM CAFFEINE ,3838811277,5935.4,774
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS DAIRY ,3832818010,5901.8,775
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS LACTOSE ,3832818010,5901.8,775
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS ADDED SUGAR ,3866010514,5874.2,856
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,HIGH LIKELIHOOD OF GMO INGREDIENTS ,4068945208,5871.9,766
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,HIGH LIKELIHOOD OF GMO INGREDIENTS ,3817838147,5815.2,765
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM NATURAL COLORS ,4005781604,5809.8,743
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM NATURAL COLORS ,3776395010,5797.3,740
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ARTIFICIAL COLORS ,3866573122,5740.6,689
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ARTIFICIAL COLORS ,3634823621,5704.9,679
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS COCOA ,3879402340,5555.4,737
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM HIGH FRUCTOSE CORN SYRUP ,3735995323,5550.7,689
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,101 TO 200 CALORIES PER SERVING ,3445235794,5513.6,783
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS COCOA ,3650740422,5505.6,731
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM HIGH FRUCTOSE CORN SYRUP ,3524232031,5491.7,687
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,101 TO 200 CALORIES PER SERVING ,3263033480,5456.5,804
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ARTIFICIAL SWEETENERS ,3659198027,5244,657
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM ARTIFICIAL SWEETENERS ,3445800774,5155.8,654
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,1G TO LESS THAN 2.5G FIBER PER SERVING ,3247844132,4880.5,814
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,1G TO LESS THAN 2.5G FIBER PER SERVING ,3127570923,4869.6,839
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,3355468236,4645.5,648
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,3355468236,4645.5,648
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,3125242721,4413.7,546
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS SOY ,3125242721,4413.7,546
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM GLUTEN ,2828296012,4232.9,537
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,KOSHER ,3453326084,4161.5,713
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS NATURAL SWEETENERS ,2607795789,4127.9,589
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,FREE FROM GLUTEN ,2686994902,4125.5,541
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS ARTIFICIAL INGREDIENTS ,2563264813,4102.1,566
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,CONTAINS SOY ,3299279355,4056.9,677
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS ARTIFICIAL INGREDIENTS ,2721258878,4053.5,573
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,CONTAINS NATURAL SWEETENERS ,2746481693,4018.2,589
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,CONTAINS SOY ,3343755930,3969.1,663
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,CONTAINS SOY ,3343755930,3969.1,663
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,LOW SODIUM   ,2513572426,3958.9,579
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,KOSHER ,3332390658,3940.7,757
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,LOW SODIUM   ,2372032324,3834.7,587
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,CONTAINS SOY ,3159836093,3784.4,716
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,MARS_INCORPORATED,1G TO LESS THAN 10G PROTEIN PER SERVING ,2871757923,3779.9,619
